Time,AverageOccupancy,MaxOccupancy,OccupancyThreshold,Violations
2022-05-25 15:49:21,1,3,300,0
2022-05-25 15:50:21,1,4,300,0
2022-05-25 15:51:21,0,2,300,0
2022-05-25 15:53:04,0,4,300,0
2022-05-25 15:54:04,1,4,300,0
2022-06-01 10:00:21,1,4,300,0
2022-06-01 10:01:21,0,3,300,0
2022-06-01 10:02:22,0,0,300,0
2022-06-01 10:03:22,0,0,300,0
2022-06-01 10:04:22,0,0,300,0
2022-06-01 10:05:22,0,0,300,0
2022-06-01 10:06:22,0,0,300,0
2022-06-01 10:07:22,0,0,300,0
2022-06-01 10:08:22,0,0,300,0
2022-06-01 10:09:22,0,0,300,0
2022-06-01 10:10:22,0,0,300,0
2022-06-01 10:11:22,0,0,300,0
2022-06-01 10:12:22,0,0,300,0
2022-06-01 10:13:22,0,0,300,0
2022-06-01 10:14:22,0,0,300,0
2022-06-01 10:15:23,0,0,300,0
2022-06-01 10:16:23,0,0,300,0
2022-06-01 10:17:23,0,0,300,0
2022-06-01 10:18:23,0,0,300,0
2022-06-01 10:19:23,0,0,300,0
2022-06-01 10:20:23,0,0,300,0
2022-06-01 10:21:23,0,0,300,0
2022-06-01 10:22:23,0,0,300,0
2022-06-01 10:23:23,0,0,300,0
2022-06-01 10:24:23,0,0,300,0
2022-06-01 10:25:23,0,0,300,0
2022-06-01 10:26:23,0,0,300,0
2022-06-01 10:27:24,0,0,300,0
2022-06-01 10:28:24,0,0,300,0
2022-06-01 10:29:24,0,0,300,0
2022-06-01 10:30:24,0,0,300,0
2022-06-01 10:31:24,0,0,300,0
2022-06-01 10:32:24,0,0,300,0
2022-06-01 10:33:24,0,0,300,0
2022-06-01 10:34:24,0,0,300,0
2022-06-01 10:35:24,0,0,300,0
2022-06-01 10:36:24,0,0,300,0
2022-06-01 10:37:24,0,0,300,0
2022-06-01 10:38:24,0,0,300,0
2022-06-01 10:39:25,0,0,300,0
2022-06-01 10:40:25,0,0,300,0
2022-06-01 10:41:25,0,0,300,0
2022-06-01 10:42:25,0,0,300,0
2022-06-01 10:43:25,0,0,300,0
2022-06-01 10:44:25,0,0,300,0
2022-06-01 10:45:25,0,0,300,0
2022-06-01 10:46:25,0,0,300,0
2022-06-01 10:47:25,0,0,300,0
2022-06-01 10:48:25,0,0,300,0
2022-06-01 10:52:28,0,1,300,0
2022-06-01 10:58:30,0,2,300,0
2022-06-01 10:59:30,1,3,300,0
2022-06-01 11:00:30,1,2,300,0
2022-06-01 11:01:30,1,3,300,0
2022-06-01 11:02:31,1,4,300,0
2022-06-01 11:06:55,1,3,300,0
2022-06-08 08:47:57,3,6,300,0
2022-06-08 08:48:57,1,4,300,0
2022-06-08 09:31:51,1,5,300,0
2022-06-08 09:32:51,1,3,300,0
2022-06-08 09:33:52,2,7,300,0
2022-06-08 09:34:52,3,8,300,0
2022-06-08 09:35:52,2,7,300,0
2022-06-08 09:36:52,3,7,300,0
2022-06-08 09:37:52,2,4,300,0
2022-06-08 09:38:52,0,0,300,0
2022-06-08 09:39:52,0,0,300,0
2022-06-08 09:40:52,0,0,300,0
2022-06-08 09:41:53,0,0,300,0
2022-06-08 09:42:53,0,0,300,0
2022-06-08 09:43:53,0,0,300,0
2022-06-08 09:44:53,0,0,300,0
2022-06-08 09:45:53,0,0,300,0
2022-06-08 09:46:53,0,0,300,0
2022-06-08 09:47:53,0,0,300,0
2022-06-08 09:48:53,0,0,300,0
2022-06-08 09:49:54,0,0,300,0
2022-06-08 09:50:54,0,0,300,0
2022-06-08 09:51:54,0,0,300,0
2022-06-08 09:52:54,0,0,300,0
2022-06-08 09:53:54,0,0,300,0
2022-06-08 09:54:54,0,0,300,0
2022-06-08 09:55:54,0,0,300,0
2022-06-08 09:56:55,0,0,300,0
2022-06-08 09:57:55,0,0,300,0
2022-06-08 09:58:55,0,0,300,0
2022-06-08 09:59:55,0,0,300,0
2022-06-08 10:00:55,0,0,300,0
2022-06-08 10:01:56,0,0,300,0
2022-06-08 10:02:56,0,0,300,0
2022-06-08 10:03:56,0,0,300,0
