Time,NoFace,FaceWithMask,FaceWithoutMask
2022-05-25 15:49:21,11,0,0
2022-05-25 15:50:21,10,0,0
2022-05-25 15:51:21,8,0,0
2022-05-25 15:53:04,15,0,0
2022-05-25 15:54:04,10,0,0
2022-06-01 10:00:21,12,0,0
2022-06-01 10:01:21,14,0,0
2022-06-01 10:02:22,14,0,0
2022-06-01 10:03:22,14,0,0
2022-06-01 10:04:22,14,0,0
2022-06-01 10:05:22,14,0,0
2022-06-01 10:06:22,14,0,0
2022-06-01 10:07:22,14,0,0
2022-06-01 10:08:22,14,0,0
2022-06-01 10:09:22,14,0,0
2022-06-01 10:10:22,14,0,0
2022-06-01 10:11:22,14,0,0
2022-06-01 10:12:22,14,0,0
2022-06-01 10:13:22,14,0,0
2022-06-01 10:14:22,14,0,0
2022-06-01 10:15:23,14,0,0
2022-06-01 10:16:23,14,0,0
2022-06-01 10:17:23,14,0,0
2022-06-01 10:18:23,14,0,0
2022-06-01 10:19:23,14,0,0
2022-06-01 10:20:23,14,0,0
2022-06-01 10:21:23,14,0,0
2022-06-01 10:22:23,14,0,0
2022-06-01 10:23:23,14,0,0
2022-06-01 10:24:23,14,0,0
2022-06-01 10:25:23,14,0,0
2022-06-01 10:26:23,14,0,0
2022-06-01 10:27:24,14,0,0
2022-06-01 10:28:24,14,0,0
2022-06-01 10:29:24,14,0,0
2022-06-01 10:30:24,14,0,0
2022-06-01 10:31:24,14,0,0
2022-06-01 10:32:24,14,0,0
2022-06-01 10:33:24,14,0,0
2022-06-01 10:34:24,14,0,0
2022-06-01 10:35:24,14,0,0
2022-06-01 10:36:24,14,0,0
2022-06-01 10:37:24,14,0,0
2022-06-01 10:38:24,14,0,0
2022-06-01 10:39:25,14,0,0
2022-06-01 10:40:25,14,0,0
2022-06-01 10:41:25,14,0,0
2022-06-01 10:42:25,14,0,0
2022-06-01 10:43:25,14,0,0
2022-06-01 10:44:25,14,0,0
2022-06-01 10:45:25,14,0,0
2022-06-01 10:46:25,14,0,0
2022-06-01 10:47:25,14,0,0
2022-06-01 10:48:25,14,0,0
2022-06-01 10:52:28,4,0,0
2022-06-01 10:58:30,10,0,0
2022-06-01 10:59:30,9,0,0
2022-06-01 11:00:30,5,0,0
2022-06-01 11:01:30,7,0,0
2022-06-01 11:02:31,10,0,0
2022-06-01 11:06:55,16,0,0
2022-06-08 08:47:57,31,0,0
2022-06-08 08:48:57,16,0,0
2022-06-08 09:31:51,23,0,0
2022-06-08 09:32:51,14,0,0
2022-06-08 09:33:52,36,0,0
2022-06-08 09:34:52,46,0,0
2022-06-08 09:35:52,26,0,0
2022-06-08 09:36:52,35,0,0
2022-06-08 09:37:52,37,0,0
2022-06-08 09:38:52,37,0,0
2022-06-08 09:39:52,37,0,0
2022-06-08 09:40:52,37,0,0
2022-06-08 09:41:53,37,0,0
2022-06-08 09:42:53,37,0,0
2022-06-08 09:43:53,37,0,0
2022-06-08 09:44:53,37,0,0
2022-06-08 09:45:53,37,0,0
2022-06-08 09:46:53,37,0,0
2022-06-08 09:47:53,37,0,0
2022-06-08 09:48:53,37,0,0
2022-06-08 09:49:54,37,0,0
2022-06-08 09:50:54,37,0,0
2022-06-08 09:51:54,37,0,0
2022-06-08 09:52:54,37,0,0
2022-06-08 09:53:54,37,0,0
2022-06-08 09:54:54,37,0,0
2022-06-08 09:55:54,37,0,0
2022-06-08 09:56:55,37,0,0
2022-06-08 09:57:55,37,0,0
2022-06-08 09:58:55,37,0,0
2022-06-08 09:59:55,37,0,0
2022-06-08 10:00:55,37,0,0
2022-06-08 10:01:55,37,0,0
2022-06-08 10:02:56,37,0,0
2022-06-08 10:03:56,37,0,0
